id,name,sex,religion,occupation,social_status,allegiance_last,allegiance_switched,intro_season,intro_episode,intro_time_sec,intro_time_hrs,dth_flag,dth_season,dth_episode,dth_time_sec,dth_time_hrs,censor_time_sec,censor_time_hrs,exp_season,exp_episode,exp_time_sec,exp_time_hrs,featured_episode_count,prominence,dth_description,icd10_dx_code,icd10_dx_text,icd10_cause_code,icd10_cause_text,icd10_place_code,icd10_place_text,top_location,geo_location,time_of_day,,,,,,
307,Sally,2,3,9,2,9,1,4,33,98569,27.38,1,7,61,184839,51.34,184839,51.34,4,29,86271,23.96,1,0.1379,Throat slit by her father to avoid starvation at a farm house (mercy killing),S11,Open wound of neck,X99.0,Assault by knife,Y92.0,Home,1,1,9,,,,,,
308,Farmer (Sally's Father),1,3,2,2,8,1,4,33,98569,27.38,1,7,61,184839,51.34,184839,51.34,4,29,86271,23.96,1,0.1379,"Suicide with a knife, throat slit, at farm house",S11,Open wound of neck,X78.0,Intentional self-harm by knife,Y92.0,Home,1,1,9,,,,,,
309,Mole's town whore,2,9,2,2,9,1,4,33,99269,27.57,1,4,38,112477,31.24,112477,31.24,1,6,13209,3.67,2,0.3333,Stabbed in the thorax with a spear by Ygritte inside a brothel in Mole's Town,S21,Open wound of chest,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.5,Trade and service area,1,1,2,,,,,,
310,Mole's town madam,2,9,2,2,9,1,4,33,99300,27.58,1,4,38,115032,31.95,115032,31.95,1,6,15733,4.37,2,0.3333,Killed during the sacking of Mole's Town,T14,Injury of unspecified body region,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.9,Unspecified place of occurrence,9,1,9,,,,,,
311,Guymon,1,9,2,2,9,1,4,33,100055,27.79,1,4,33,100065,27.80,100065,27.80,1,1,11,0.00,1,1.0000,Shot in the back/head with an arrow by Ygritte home on the farm,S06,Intracranial injury,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.0,Home,2,1,1,,,,,,
312,Olly,1,9,2,2,3,1,4,33,100056,27.79,1,6,53,160398,44.56,160398,44.56,3,21,60343,16.76,17,2.4286,Excuted by hanging by Jon Snow at Castle Black,T71,Asphyxiation,Y35.5,Legal execution,Y92.12,Military camp,2,1,1,,,,,,
313,Othell Yarwyck,1,9,2,2,3,1,4,33,100170,27.83,1,6,53,160398,44.56,160398,44.56,3,21,60229,16.73,14,2.0000,Excuted by hanging by Jon Snow at Castle Black,T71,Asphyxiation,Y35.5,Legal execution,Y92.12,Military camp,1,1,1,,,,,,
314,Great master 2,1,9,1,1,8,1,4,33,100368,27.88,1,4,34,103680,28.80,103680,28.80,1,2,3313,0.92,1,0.5000,Crucified on the orders of Daenerys Targaryen in the streets of Meereen,T74,Maltreatment syndromes,Y07,Other maltreatment syndromes,Y92.4,Street and highway,2,2,9,,,,,,
315,Hizdahr zo Loraq,1,7,1,1,2,2,4,33,100368,27.88,1,5,49,148304,41.20,148304,41.20,2,17,47937,13.32,8,0.9412,Stabbed repeatedly in the chest by the Sons of the Harpy in the figthing pit in Meereen,S21,Open wound of chest,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.88,Other specified place of occurrence,2,2,1,,,,,,
316,Oznak zo Pahl,1,9,2,2,8,1,4,33,100397,27.89,1,4,33,100646,27.96,100646,27.96,1,1,250,0.07,1,1.0000,Slashed in the neck by Daario Naharis at the gates of Meereen,S11,Open wound of neck,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.88,Other specified place of occurrence,2,2,1,,,,,,
317,Great master 3,1,9,1,1,8,1,4,33,100441,27.90,0,,,,,230800,64.11,5,41,130360,36.21,1,0.1220,,,,,,,,,,,,,,,,
318,Great master 1,1,9,1,1,8,1,4,33,100756,27.99,1,4,34,101121,28.09,101121,28.09,1,2,366,0.10,2,1.0000,Stabbed to death by uprising slaves in the streets of Meereen,T01,Open wounds involving multiple body regions,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.4,Street and highway,2,2,1,,,,,,
319,Sissy,2,7,9,2,8,1,4,34,102958,28.60,0,,,,,230800,64.11,5,40,127843,35.51,2,0.2500,,,,,,,,,,,,,,,,
320,Morag,2,7,9,2,8,1,4,34,103089,28.64,0,,,,,230800,64.11,5,40,127712,35.48,2,0.2500,,,,,,,,,,,,,,,,
321,Donnel Waynwood,1,9,2,1,8,1,4,35,104328,28.98,0,,,,,230800,64.11,5,39,126473,35.13,2,0.2564,,,,,,,,,,,,,,,,
322,Tycho Nestoris,1,9,1,2,8,1,4,36,106793,29.66,0,,,,,230800,64.11,5,38,124008,34.45,4,0.5263,,,,,,,,,,,,,,,,
323,Lhara,2,9,2,2,9,1,4,36,107038,29.73,0,,,,,230800,64.11,5,38,123763,34.38,3,0.3947,,,,,,,,,,,,,,,,
324,Goatherd,1,9,2,2,9,1,4,36,107691,29.91,0,,,,,230800,64.11,5,38,123110,34.20,1,0.1316,,,,,,,,,,,,,,,,
325,Goatherd's son,1,9,2,2,9,1,4,36,107808,29.95,0,,,,,230800,64.11,5,38,122993,34.16,1,0.1316,,,,,,,,,,,,,,,,
326,Adrack Humble,1,5,2,2,5,1,4,38,113025,31.40,1,4,38,113189,31.44,113189,31.44,1,1,165,0.05,1,1.0000,Flayed alive by Ramsay Bolton at Moat Cailin,T01,Open wounds involving multiple body regions,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.12,Military camp,1,1,1,,,,,,
327,Ralf Kenning,1,5,2,2,5,1,4,38,113025,31.40,1,4,38,113160,31.43,113160,31.43,1,1,136,0.04,1,1.0000,Bludgeoned with an axe to the skull by Adrack Humble at Moat Cailin,S06,Intracranial injury,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.12,Military camp,1,1,1,,,,,,
328,Vance Corbray,1,9,2,1,8,1,4,38,113247,31.46,0,,,,,230800,64.11,5,36,117554,32.65,1,0.1389,,,,,,,,,,,,,,,,
329,Yohn Royce,1,9,1,1,1,1,4,38,113247,31.46,0,,,,,230800,64.11,5,36,117554,32.65,13,1.8056,,,,,,,,,,,,,,,,
330,Anya Waynwood,2,9,1,1,8,1,4,38,113247,31.46,0,,,,,230800,64.11,5,36,117554,32.65,1,0.1389,,,,,,,,,,,,,,,,
331,Cooper,1,9,2,2,3,1,4,39,116897,32.47,1,4,39,117783,32.72,117783,32.72,1,1,887,0.25,1,1.0000,Killed by wildling giant in Castle Black tunnel,T14,Injury of unspecified body region,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.12,Military camp,1,1,2,,,,,,
332,Donnel Hill,1,9,2,1,3,1,4,39,116897,32.47,1,4,39,117783,32.72,117783,32.72,1,1,887,0.25,1,1.0000,Killed by wildling giant in Castle Black tunnel,T14,Injury of unspecified body region,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.12,Military camp,1,1,2,,,,,,
333,Fennesz,1,9,2,2,8,1,4,40,118994,33.05,0,,,,,230800,64.11,5,34,111807,31.06,1,0.1471,,,,,,,,,,,,,,,,
334,Three-Eyed Raven,1,4,2,2,8,1,4,40,120063,33.35,1,6,55,166569,46.27,166569,46.27,3,16,46507,12.92,4,0.7500,Slain in half by the Night King in a cave beyond The Wall,T05,Traumatic amputations involving multiple body regions,X99.0,Assault by knife,Y92.86,Other specified countryside,1,1,2,,,,,,
335,Ternesio Terys,1,9,2,2,9,1,4,40,121382,33.72,0,,,,,230800,64.11,5,34,109419,30.39,2,0.2941,,,,,,,,,,,,,,,,
336,White Rat,1,9,2,2,2,1,5,41,122173,33.94,1,5,41,122289,33.97,122289,33.97,1,1,117,0.03,1,1.0000,Throat slit by a Sons of the Harpy assassin inside a brothel in Meereen,S11,Open wound of neck,X99.0,Assault by knife,Y92.5,Trade and service area,1,2,1,,,,,,
337,Vala,2,9,2,2,8,1,5,41,122196,33.94,0,,,,,230800,64.11,4,33,108605,30.17,3,0.3636,,,,,,,,,,,,,,,,
338,Mossador,1,9,2,2,2,2,5,41,122303,33.97,1,5,42,127170,35.33,127170,35.33,1,2,4868,1.35,2,1.0000,Beheaded by Daario Naharis in public square in Meereen,S18,Traumatic amputation at neck level,Y35.5,Legal execution,Y92.88,Other specified place of occurrence,2,2,1,,,,,,
339,Samwell Stone,1,9,2,2,8,1,5,41,122713,34.09,0,,,,,230800,64.11,4,33,108088,30.02,1,0.1212,,,,,,,,,,,,,,,,
340,Helliweg,1,9,1,2,8,1,5,41,122715,34.09,0,,,,,230800,64.11,4,33,108086,30.02,1,0.1212,,,,,,,,,,,,,,,,
341,Bowen Marsh,1,9,2,2,3,1,5,41,124056,34.46,1,6,53,160398,44.56,160398,44.56,2,13,36343,10.10,10,1.5385,Executed by hanging by Jon Snow for treason at Castle Black,T71,Asphyxiation,Y35.5,Legal execution,Y92.12,Military camp,2,1,1,,,,,,
342,Lollys Stokeworth,2,9,9,1,8,1,5,42,125229,34.79,0,,,,,230800,64.11,4,32,105572,29.33,1,0.1250,,,,,,,,,,,,,,,,
343,Trystane Martell,1,9,1,1,8,1,5,42,125421,34.84,1,6,51,153542,42.65,153542,42.65,2,10,28122,7.81,5,1.0000,Stabbed through the back of the head with a spear by Obara Sand inside ship's cabin at Blackwater Bay,S06,Intracranial injury,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.82,Large area of water,1,1,1,,,,,,
344,Areo Hotah,1,9,2,2,8,1,5,42,125435,34.84,1,6,51,153439,42.62,153439,42.62,2,10,28005,7.78,6,1.2000,Stabbed in the back with a dagger by Tyene Sand at Water Gardens castle grounds,S21,Open wound of chest,X99.0,Assault by knife,Y92.0,Home,2,1,1,,,,,,
345,Doran Martell,1,9,1,1,8,1,5,42,125436,34.84,1,6,51,153491,42.64,153491,42.64,2,10,28056,7.79,5,1.0000,Stabbed in the chest with a dagger by Ellaria Sand at Water Gardens castle grounds,S21,Open wound of chest,X99.0,Assault by knife,Y92.0,Home,2,1,1,,,,,,
346,Son of the Harpy,1,9,2,2,8,1,5,42,125625,34.90,1,5,42,126905,35.25,126905,35.25,1,1,1281,0.36,1,1.0000,"Knives in the chest, murdered by Mossodor whilst being a prisoner in Meereen",S21,Open wound of chest,X99.0,Assault by knife,Y92.10,Prison,1,2,1,,,,,,
347,Denys Mallister,1,9,2,2,3,1,5,42,126495,35.14,0,,,,,230800,64.11,4,32,104306,28.97,1,0.1250,,,,,,,,,,,,,,,,
348,Waif,2,6,2,2,8,1,5,43,127394,35.39,1,6,58,175478,48.74,175478,48.74,2,16,48085,13.36,11,1.3750,Stabbed by Ayra Stark in a room in Braavos,T14,Injury of unspecified body region,X99.0,Assault by knife,Y92.9,Unspecified place of occurrence,1,2,1,,,,,,
349,High Sparrow,1,3,1,2,8,1,5,43,129831,36.06,1,6,60,179691,49.91,179691,49.91,2,18,49861,13.85,12,1.3333,Burned alive in a wildfire explosion in the Great Sept of Baelor,T29,Burns of multiple body regions,X97,"Assault by smoke, fire and flames",Y92.29,Other specified institution and public administrative area,1,1,1,,,,,,
350,Red Priestess 1,2,2,1,2,9,1,5,43,130342,36.21,0,,,,,230800,64.11,4,31,100459,27.91,1,0.1290,,,,,,,,,,,,,,,,
351,Clea,2,9,2,2,9,1,5,43,130506,36.25,0,,,,,230800,64.11,4,31,100295,27.86,1,0.1290,,,,,,,,,,,,,,,,
352,Obara Sand,2,9,2,2,8,1,5,44,132680,36.86,1,7,62,188716,52.42,188716,52.42,3,19,56037,15.57,8,1.2632,Stabbed in the torso with a spear on deck of ship in the Narrow Sea,S21,Open wound of chest,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.82,Large area of water,2,1,2,,,,,,
353,Nymeria Sand,2,9,2,2,8,1,5,44,132680,36.86,1,7,62,188738,52.43,188738,52.43,3,19,56059,15.57,8,1.2632,Strangled with her own whip by Euron Greyjoy on deck of ship in the Narrow Sea,T71,Asphyxiation,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.82,Large area of water,2,1,2,,,,,,
354,Tyene Sand,2,9,2,2,8,1,5,44,132680,36.86,1,7,63,190484,52.91,190484,52.91,3,20,57805,16.06,9,1.3500,Poisoned with the Long Farewell by Cersei Lannister in the dungeon at King's Landing,T65,Toxic effect of other and unspecified substances,X85,"Assault by drugs, medicaments and biological substances",Y92.10,Prison,1,1,9,,,,,,
355,Joss,1,6,2,2,9,1,5,46,137021,38.06,0,,,,,230800,64.11,4,28,93780,26.05,1,0.1429,,,,,,,,,,,,,,,,
356,Ghita,2,6,9,2,9,1,5,46,137021,38.06,1,5,46,137195,38.11,137195,38.11,1,1,175,0.05,1,1.0000,Poisoned at the House of Black and White (Many-Faced God) in Braavos,T65,Toxic effect of other and unspecified substances,X85,"Assault by drugs, medicaments and biological substances",Y92.29,Other specified institution and public administrative area,1,2,9,,,,,,
357,Malko,1,9,2,2,9,1,5,46,137523,38.20,0,,,,,230800,64.11,4,28,93278,25.91,2,0.2857,,,,,,,,,,,,,,,,
358,Brant ,1,9,2,2,3,1,5,47,140445,39.01,0,,,,,230800,64.11,4,27,90356,25.10,1,0.1481,,,,,,,,,,,,,,,,
359,Derek,1,9,2,2,3,1,5,47,140445,39.01,0,,,,,230800,64.11,4,27,90356,25.10,1,0.1481,,,,,,,,,,,,,,,,
360,Yezzan zo Qaggaz,1,9,1,2,8,1,5,47,140818,39.12,0,,,,,230800,64.11,4,27,89983,25.00,4,0.5926,,,,,,,,,,,,,,,,
361,Unella,2,3,1,2,8,1,5,47,142576,39.60,0,,,,,230800,64.11,4,27,88225,24.51,8,1.1852,,,,,,,,,,,,,,,,
362,Thin man,1,9,1,2,9,1,5,48,143074,39.74,0,,,,,230800,64.11,4,26,87727,24.37,2,0.3077,,,,,,,,,,,,,,,,
363,Karsi,2,4,2,2,8,1,5,48,144413,40.11,1,5,48,145588,40.44,145588,40.44,1,1,1176,0.33,1,1.0000,Ravaged by pack of wight children at Hardhome,T01,Open wounds involving multiple body regions,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.83,Beach,2,1,1,,,,,,
364,Loboda,1,4,2,2,8,1,5,48,144417,40.12,1,5,48,145417,40.39,145417,40.39,1,1,1001,0.28,1,1.0000,Stabbed through the torso with a spear by a white walker inside a hut at Hardhome,S21,Open wound of chest,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.0,Home,1,1,1,,,,,,
365,Dim Dalba,1,4,2,2,8,1,5,48,144430,40.12,1,6,59,178657,49.63,178657,49.63,2,12,34228,9.51,2,0.3333,Presumed killed in the Battle of Bastards in a field near Winterfell,T14,Injury of unspecified body region,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.86,Other specified countryside,2,1,9,,,,,,
366,Johnna,2,4,9,2,9,1,5,48,144815,40.23,0,,,,,230800,64.11,4,26,85986,23.89,2,0.3077,,,,,,,,,,,,,,,,
367,Willa,2,4,9,2,9,1,5,48,144815,40.23,0,,,,,230800,64.11,4,26,85986,23.89,2,0.3077,,,,,,,,,,,,,,,,
368,Brusco,1,9,2,2,9,1,5,49,146930,40.81,0,,,,,230800,64.11,4,25,83871,23.30,1,0.1600,,,,,,,,,,,,,,,,
369,Brea,2,9,2,2,9,1,5,49,146990,40.83,0,,,,,230800,64.11,4,25,83811,23.28,1,0.1600,,,,,,,,,,,,,,,,
370,Aya,2,9,2,2,9,1,5,49,147070,40.85,0,,,,,230800,64.11,4,25,83731,23.26,1,0.1600,,,,,,,,,,,,,,,,
371,Anara,2,9,2,2,9,1,5,49,147128,40.87,0,,,,,230800,64.11,4,25,83673,23.24,1,0.1600,,,,,,,,,,,,,,,,
372,Simpson,1,9,2,2,6,1,5,50,149353,41.49,1,5,50,149388,41.50,149388,41.50,1,1,36,0.01,1,1.0000,Stabbed in the neck with a dagger by Stannis Baratheon in the forest near Winterfell,S11,Open wound of neck,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.84,Forest,2,1,1,,,,,,
373,Gordy,1,9,2,2,6,1,5,50,149353,41.49,1,5,50,149387,41.50,149387,41.50,1,1,35,0.01,1,1.0000,Stabbed in stomach with a sword by Stannis Baratheon in the forest near Winterfell,S31,"Open wound of abdomen, lower back and pelvis",Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.84,Forest,2,1,1,,,,,,
374,Scolera,2,3,1,2,8,1,5,50,151136,41.98,1,6,60,179691,49.91,179691,49.91,2,11,28556,7.93,2,0.3636,Burned alive in a wildfire explosion in the Great Sept of Baelor,T29,Burns of multiple body regions,X97,"Assault by smoke, fire and flames",Y92.29,Other specified institution and public administrative area,1,1,1,,,,,,
375,Moelle,2,3,1,2,8,1,5,50,151136,41.98,1,6,60,179693,49.91,179693,49.91,2,11,28558,7.93,1,0.1818,Burned alive in a wildfire explosion in the Great Sept of Baelor,T29,Burns of multiple body regions,X97,"Assault by smoke, fire and flames",Y92.29,Other specified institution and public administrative area,1,1,1,,,,,,
376,Maester Wolkan,1,9,1,2,1,1,6,51,152437,42.34,0,,,,,230800,64.11,3,23,78364,21.77,11,1.4348,,,,,,,,,,,,,,,,
377,Caleotte,1,9,1,2,8,1,6,51,153416,42.62,1,6,51,153443,42.62,153443,42.62,1,1,28,0.01,1,1.0000,Dagger thrown into the neck at Water Gardens castle grounds,S11,Open wound of neck,X99.0,Assault by knife,Y92.0,Home,2,1,1,,,,,,
378,Zanrush,1,2,1,2,8,1,6,51,153669,42.69,0,,,,,230800,64.11,3,23,77132,21.43,2,0.2609,,,,,,,,,,,,,,,,
379,Aggo 2,1,1,2,2,8,1,6,51,153967,42.77,1,6,54,161804,44.95,161804,44.95,1,4,7838,2.18,2,0.5000,"Stabbed in the back with a knife by Daario Naharis, then bludgeoned to death with a rock in the city streets of Vaes Dothrak",T01,Open wounds involving multiple body regions,Y00,Assault by blunt object,Y92.4,Street and highway,2,2,2,,,,,,
380,Qhono,1,1,2,2,2,1,6,51,153967,42.77,1,8,70,216231,60.06,216231,60.06,3,20,62265,17.30,9,1.3500,Killed by during the Battle of Winterfell,T14,Injury of unspecified body region,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.0,Home,2,1,2,,,,,,
381,Moro,1,1,2,2,8,1,6,51,154090,42.80,1,6,54,163572,45.44,163572,45.44,1,4,9483,2.63,3,0.7500,Burnt to death inside a Dothraki temple in a fire started by Daenerys Targaryen,T29,Burns of multiple body regions,X97,"Assault by smoke, fire and flames",Y92.29,Other specified institution and public administrative area,1,2,2,,,,,,
382,Moro's wife 1,2,1,2,2,8,1,6,51,154102,42.81,0,,,,,230800,64.11,3,23,76699,21.31,1,0.1304,,,,,,,,,,,,,,,,
383,Moro's wife 2,2,1,2,2,8,1,6,51,154102,42.81,0,,,,,230800,64.11,3,23,76699,21.31,2,0.2609,,,,,,,,,,,,,,,,
384,Harald Karstark,1,4,1,1,6,2,6,52,156237,43.40,1,6,59,178779,49.66,178779,49.66,1,8,22543,6.26,3,0.3750,Killed during the Battle of the Bastards,T14,Injury of unspecified body region,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.9,Unspecified place of occurrence,9,1,9,,,,,,
385,Euron Greyjoy,1,9,1,1,4,2,6,52,157025,43.62,1,8,72,224964,62.49,224964,62.49,3,21,67940,18.87,9,1.2857,Stabbed in the abdomen by Jaime Lannister during the Battle of King's Landing,T01,Open wounds involving multiple body regions,X99.0,Assault by knife,Y92.83,Beach,2,1,1,,,,,,
386,Aeron Greyjoy,1,5,9,1,5,1,6,52,157046,43.62,0,,,,,230800,64.11,3,22,73755,20.49,2,0.2727,,,,,,,,,,,,,,,,
387,High Priestess of the Dosh Khaleen,2,1,1,2,8,1,6,53,158676,44.08,0,,,,,230800,64.11,3,21,72125,20.03,2,0.2857,,,,,,,,,,,,,,,,
388,Ornela,2,1,2,2,2,2,6,53,158715,44.09,0,,,,,230800,64.11,3,21,72086,20.02,2,0.2857,,,,,,,,,,,,,,,,
389,Frances,2,9,2,2,8,2,6,53,159213,44.23,0,,,,,230800,64.11,3,21,71588,19.89,2,0.2857,,,,,,,,,,,,,,,,
390,Arthur,1,9,2,2,8,1,6,53,159217,44.23,0,,,,,230800,64.11,3,21,71584,19.88,2,0.2857,,,,,,,,,,,,,,,,
391,Small Jon Umber,1,4,1,1,6,2,6,53,160029,44.45,1,6,59,178225,49.51,178225,49.51,1,7,18197,5.05,2,0.2857,Bitten in the jugular vein then stabbed in the neck and chest by Tormund Giantsbane in a field near Winterfell,T01,Open wounds involving multiple body regions,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.86,Other specified countryside,2,1,1,,,,,,
392,Belicho Paenymion,1,9,1,1,8,1,6,54,161141,44.76,1,6,59,176028,48.90,176028,48.90,1,6,14888,4.14,2,0.3333,Throat slit with a knife by Grey Worm at the cliffs of Meereen,S11,Open wound of neck,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.88,Other specified place of occurrence,2,2,1,,,,,,
393,Ash,1,9,2,2,9,2,6,54,161285,44.80,0,,,,,230800,64.11,3,20,69516,19.31,1,0.1500,,,,,,,,,,,,,,,,
394,Kesh,1,9,2,2,9,2,6,54,161285,44.80,0,,,,,230800,64.11,3,20,69516,19.31,1,0.1500,,,,,,,,,,,,,,,,
395,Iggo,1,1,2,2,9,1,6,54,161708,44.92,1,6,54,161777,44.94,161777,44.94,1,1,70,0.02,1,1.0000,Neck broken by Daario Naharis in the city streets of Vaes Dothrak,S12,Fracture of neck,Y04,Assault by bodily force,Y92.4,Street and highway,2,2,2,,,,,,
396,Forzho,1,9,2,2,8,1,6,54,163285,45.36,1,6,54,163621,45.45,163621,45.45,1,1,337,0.09,1,1.0000,Burnt to death inside a Dothraki temple in a fire started by Daenerys Targaryen,T29,Burns of multiple body regions,X97,"Assault by smoke, fire and flames",Y92.29,Other specified institution and public administrative area,1,2,2,,,,,,
397,Brozho,1,1,2,2,8,1,6,54,163285,45.36,1,6,54,163621,45.45,163621,45.45,1,1,337,0.09,1,1.0000,Burnt to death inside a Dothraki temple in a fire started by Daenerys Targaryen,T29,Burns of multiple body regions,X97,"Assault by smoke, fire and flames",Y92.29,Other specified institution and public administrative area,1,2,2,,,,,,
398,Qorro,1,1,2,2,8,1,6,54,163285,45.36,1,6,54,163621,45.45,163621,45.45,1,1,337,0.09,1,1.0000,Burnt to death inside a Dothraki temple in a fire started by Daenerys Targaryen,T29,Burns of multiple body regions,X97,"Assault by smoke, fire and flames",Y92.29,Other specified institution and public administrative area,1,2,2,,,,,,
399,Rhalko,1,1,2,2,8,1,6,54,163285,45.36,1,6,54,163621,45.45,163621,45.45,1,1,337,0.09,1,1.0000,Burnt to death inside a Dothraki temple in a fire started by Daenerys Targaryen,T29,Burns of multiple body regions,X97,"Assault by smoke, fire and flames",Y92.29,Other specified institution and public administrative area,1,2,2,,,,,,
400,Izembaro,1,9,2,2,9,1,6,55,164090,45.58,0,,,,,230800,64.11,3,19,66711,18.53,3,0.4737,,,,,,,,,,,,,,,,
401,Clarenzo,1,9,2,2,8,1,6,55,164118,45.59,0,,,,,230800,64.11,3,19,66683,18.52,3,0.4737,,,,,,,,,,,,,,,,
402,Crane,2,9,2,2,9,1,6,55,164131,45.59,1,6,58,175124,48.65,175124,48.65,1,4,10994,3.05,3,0.7500,Throat slit by the Waif over a chair in her own house in Braavos,S11,Open wound of neck,X99.0,Assault by knife,Y92.0,Home,1,2,1,,,,,,
403,Bobono,1,9,2,2,8,1,6,55,164135,45.59,0,,,,,230800,64.11,3,19,66666,18.52,2,0.3158,,,,,,,,,,,,,,,,
404,Camello,1,9,2,2,8,1,6,55,164153,45.60,0,,,,,230800,64.11,3,19,66648,18.51,2,0.3158,,,,,,,,,,,,,,,,
405,Bianca,2,9,2,2,8,1,6,55,164250,45.63,0,,,,,230800,64.11,3,19,66551,18.49,2,0.3158,,,,,,,,,,,,,,,,
406,Kinvara,2,2,1,2,2,1,6,55,165290,45.91,0,,,,,230800,64.11,3,19,65511,18.20,1,0.1579,,,,,,,,,,,,,,,,
407,Talla Tarly,2,9,9,1,8,1,6,56,167217,46.45,0,,,,,230800,64.11,3,18,63584,17.66,1,0.1667,,,,,,,,,,,,,,,,
408,Melessa Tarly,2,9,1,1,8,1,6,56,167217,46.45,0,,,,,230800,64.11,3,18,63584,17.66,1,0.1667,,,,,,,,,,,,,,,,
409,Dickon Tarly,1,3,2,1,4,1,6,56,167587,46.55,1,7,65,195493,54.30,195493,54.30,2,10,27907,7.75,5,1.0000,Burnt to death by dragon fire after the Battle of the Gold Road,T29,Burns of multiple body regions,Y36.6,"War operations involving fires, conflagrations and hot substances",Y92.4,Street and highway,2,1,1,,,,,,
410,Randyll Tarly,1,3,1,1,4,2,6,56,167587,46.55,1,7,65,195493,54.30,195493,54.30,2,10,27907,7.75,5,1.0000,Burnt to death by dragon fire after the Battle of the Gold Road,T29,Burns of multiple body regions,Y36.6,"War operations involving fires, conflagrations and hot substances",Y92.86,Other specified countryside,2,1,1,,,,,,
411,Kitty Frey,2,3,9,1,7,1,6,56,168966,46.94,0,,,,,230800,64.11,3,18,61835,17.18,2,0.3333,,,,,,,,,,,,,,,,
412,Ray,1,3,1,2,8,1,6,57,169647,47.12,1,6,57,172320,47.87,172320,47.87,1,1,2674,0.74,1,1.0000,Hanged by members of the Brotherhood Without Banners in a field in the Riverlands,T71,Asphyxiation,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.86,Other specified countryside,2,1,1,,,,,,
413,Lyanna Mormont,2,4,1,1,1,1,6,57,170824,47.45,1,8,70,215139,59.76,215139,59.76,3,14,44316,12.31,8,1.7143,Crushed by a wight giant during the Battle of Winterfell,T04,Crushing injuries involving multiple body regions,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.0,Home,2,1,2,,,,,,
414,Robett Glover,1,9,1,1,1,1,6,57,171276,47.58,0,,,,,230800,64.11,3,17,59525,16.53,5,0.8824,,,,,,,,,,,,,,,,
415,Morgan,1,2,2,2,8,1,6,57,171911,47.75,1,6,58,172780,47.99,172780,47.99,1,2,870,0.24,2,1.0000,Throat slit with an axe by Sandor Clegane on a road in a forest in the Riverlands,S11,Open wound of neck,X99.8,Assault by other specified sharp object,Y92.4,Street and highway,2,1,1,,,,,,
416,Gatins,1,2,2,2,8,1,6,57,171911,47.75,1,6,58,172811,48.00,172811,48.00,1,2,901,0.25,2,1.0000,Axe in the groin then in the head by Sandor Clegane on a road in a forest in the Riverlands,T01,Open wounds involving multiple body regions,X99.8,Assault by other specified sharp object,Y92.4,Street and highway,2,1,1,,,,,,
417,Lem,1,2,2,2,8,1,6,57,171911,47.75,1,6,58,174956,48.60,174956,48.60,1,2,3046,0.85,2,1.0000,Hanged by Sandor Clegane on a road in a forest in the Riverlands,T71,Asphyxiation,X91,"Assault by hanging, strangulation and suffocation",Y92.4,Street and highway,2,1,1,,,,,,
418,Steve,1,9,2,2,8,1,6,58,172713,47.98,1,6,58,172774,47.99,172774,47.99,1,1,62,0.02,1,1.0000,Decapitated with an axe by Sandor Clegane on a road in a forest in the Riverlands,S18,Traumatic amputation at neck level,X99.8,Assault by other specified sharp object,Y92.4,Street and highway,2,1,1,,,,,,
419,Riddell,1,9,2,2,8,1,6,58,172713,47.98,1,6,58,172779,47.99,172779,47.99,1,1,67,0.02,1,1.0000,Stabbed in the chest with an axe by Sandor Clegane on a road in a forest in the Riverlands,S21,Open wound of chest,X99.8,Assault by other specified sharp object,Y92.4,Street and highway,2,1,1,,,,,,
420,Red Priestess 2,2,2,1,2,8,1,6,58,172820,48.01,0,,,,,230800,64.11,3,16,57981,16.11,1,0.1875,,,,,,,,,,,,,,,,
421,Citadel maester,1,9,1,2,8,1,6,60,180346,50.10,0,,,,,230800,64.11,3,14,50455,14.02,1,0.2143,,,,,,,,,,,,,,,,
